Column1.country,Column1.square.southwest.lng,Column1.square.southwest.lat,Column1.square.northeast.lng,Column1.square.northeast.lat,Column1.nearestPlace,Column1.coordinates.lng,Column1.coordinates.lat,Column1.words,Column1.language,Column1.map
IT,8.170267,44.036923,8.170305,44.03695,"San Fedele-Lusignano, Liguria",8.170286,44.036937,chest.turkey.parrot,en,https://w3w.co/chest.turkey.parrot
ZZ,90.967977,19.60856,90.968006,19.608587,"Teknaf, Chattogram",90.967992,19.608573,chest.turkey.rowboat,en,https://w3w.co/chest.turkey.rowboat
US,-87.918151,41.857455,-87.918115,41.857482,"Hillside, Illinois",-87.918133,41.857468,chest.turkey.shady,en,https://w3w.co/chest.turkey.shady
CA,-110.851656,65.576353,-110.851591,65.57638,"Bathurst Lake, Nunavut",-110.851624,65.576366,chest.turkey.skulls,en,https://w3w.co/chest.turkey.skulls
ZZ,166.505738,50.961783,166.505781,50.96181,,166.50576,50.961797,chickens.cannonball.chest,en,https://w3w.co/chickens.cannonball.chest
ZZ,121.044379,40.000081,121.044414,40.000108,"Xingcheng, Liaoning",121.044396,40.000094,chickens.cannonball.diet,en,https://w3w.co/chickens.cannonball.diet
ZZ,-138.262713,53.386373,-138.262667,53.3864,,-138.26269,53.386387,chickens.cannonball.misfits,en,https://w3w.co/chickens.cannonball.misfits
ZZ,-29.896625,45.696583,-29.896586,45.69661,,-29.896606,45.696596,chickens.cannonball.parrot,en,https://w3w.co/chickens.cannonball.parrot
ZZ,-35.125254,17.32735,-35.125226,17.327377,,-35.12524,17.327364,chickens.cannonball.rowboat,en,https://w3w.co/chickens.cannonball.rowboat
ZZ,1.098866,59.452566,1.098919,59.452593,"Sumburgh, Shetland Islands",1.098892,59.452579,chickens.cannonball.shady,en,https://w3w.co/chickens.cannonball.shady
ZZ,7.714828,77.25725,7.714951,77.257277,"Longyearbyen, Svalbard",7.71489,77.257263,chickens.cannonball.skulls,en,https://w3w.co/chickens.cannonball.skulls
ZZ,-150.81044,76.372709,-150.810325,76.372736,,-150.810382,76.372723,chickens.cannonball.turkey,en,https://w3w.co/chickens.cannonball.turkey
ZZ,-167.143552,44.374299,-167.143514,44.374326,,-167.143533,44.374313,chickens.chest.cannonball,en,https://w3w.co/chickens.chest.cannonball
RU,47.230639,56.042475,47.230688,56.042502,"Novyye Lapsary, Chuvash Republic",47.230663,56.042489,chickens.chest.diet,en,https://w3w.co/chickens.chest.diet
RU,42.096776,51.376509,42.096819,51.376536,"Borisoglebsk, Voronezh Oblast",42.096797,51.376523,chickens.chest.misfits,en,https://w3w.co/chickens.chest.misfits
CN,120.396105,37.339802,120.396139,37.339829,"Luofeng, Shandong",120.396122,37.339815,chickens.chest.parrot,en,https://w3w.co/chickens.chest.parrot
ZZ,-82.78661,27.048297,-82.786579,27.048324,"Venice, Florida",-82.786595,27.04831,chickens.chest.rowboat,en,https://w3w.co/chickens.chest.rowboat
FI,25.691551,62.216688,25.691609,62.216715,"Jyv??skyl??, Central Finland",25.69158,62.216702,chickens.chest.shady,en,https://w3w.co/chickens.chest.shady
CA,-82.771564,71.688228,-82.771478,71.688255,"Arctic Bay, Nunavut",-82.771521,71.688241,chickens.chest.skulls,en,https://w3w.co/chickens.chest.skulls
VE,-66.542928,10.479598,-66.5429,10.479625,"Guatire, Miranda",-66.542914,10.479611,chickens.chest.turkey,en,https://w3w.co/chickens.chest.turkey
ZZ,-69.934016,79.061853,-69.933874,79.06188,"Qaanaaq, Avannaata",-69.933945,79.061867,chickens.diet.cannonball,en,https://w3w.co/chickens.diet.cannonball
NG,3.16683,6.68564,3.166857,6.685667,"Ifo, Ogun",3.166843,6.685654,chickens.diet.chest,en,https://w3w.co/chickens.diet.chest
CN,122.414161,41.139931,122.414197,41.139958,"Panshan, Liaoning",122.414179,41.139944,chickens.diet.misfits,en,https://w3w.co/chickens.diet.misfits
PT,-9.143069,38.675614,-9.143035,38.675641,"Almada, Set??bal",-9.143052,38.675628,chickens.diet.parrot,en,https://w3w.co/chickens.diet.parrot
ZZ,-109.364158,20.732563,-109.364129,20.732589,"Cabo San Lucas, Baja California Sur",-109.364144,20.732576,chickens.diet.rowboat,en,https://w3w.co/chickens.diet.rowboat
BR,-48.384951,-1.353223,-48.384924,-1.353196,"Ananindeua, Par??",-48.384938,-1.35321,chickens.diet.shady,en,https://w3w.co/chickens.diet.shady
CA,-98.631553,52.461379,-98.631509,52.461406,"Dauphin, Manitoba",-98.631531,52.461392,chickens.diet.skulls,en,https://w3w.co/chickens.diet.skulls
TH,100.502988,7.034686,100.503015,7.034713,"Hat Yai, Songkhla",100.503001,7.0347,chickens.diet.turkey,en,https://w3w.co/chickens.diet.turkey
ZZ,178.98589,46.215556,178.985929,46.215583,,178.98591,46.21557,chickens.misfits.cannonball,en,https://w3w.co/chickens.misfits.cannonball
RU,40.495495,64.499191,40.495558,64.499218,"Arkhangel’sk, Arkhangelsk Oblast",40.495527,64.499205,chickens.misfits.chest,en,https://w3w.co/chickens.misfits.chest
TH,104.729068,16.621766,104.729096,16.621793,Savannakhet,104.729082,16.621779,chickens.misfits.diet,en,https://w3w.co/chickens.misfits.diet
CA,-71.422512,46.947499,-71.422472,46.947526,"La Haute-Saint-Charles, Quebec",-71.422492,46.947512,chickens.misfits.parrot,en,https://w3w.co/chickens.misfits.parrot
